datetime,temperature_2m,relative_humidity_2m,precipitation,snowfall,pressure_msl,wind_speed_10m,wind_gusts_10m,source
2024-01-01 00:00:00,-19.5,87,0.0,0.0,1027.1,5.0,12.2,era5
2024-01-01 01:00:00,-18.2,85,0.0,0.0,1027.2,6.4,11.5,era5
2024-01-01 02:00:00,-18.0,84,0.0,0.0,1027.5,8.8,15.1,era5
2024-01-01 03:00:00,-17.4,83,0.0,0.0,1027.7,9.8,17.3,era5
2024-01-01 04:00:00,-17.6,81,0.0,0.0,1028.2,9.0,17.3,era5
2024-01-01 05:00:00,-17.1,80,0.0,0.0,1028.5,8.3,15.8,era5
2024-01-01 06:00:00,-16.5,82,0.0,0.0,1028.6,9.4,18.7,era5
2024-01-01 07:00:00,-16.4,84,0.0,0.0,1028.4,9.5,18.7,era5
2024-01-01 08:00:00,-16.3,85,0.0,0.0,1028.5,10.2,20.2,era5
2024-01-01 09:00:00,-15.7,85,0.0,0.0,1028.5,10.1,20.9,era5
2024-01-01 10:00:00,-15.4,84,0.0,0.0,1028.4,10.8,21.2,era5
2024-01-01 11:00:00,-15.4,83,0.0,0.0,1028.4,11.9,23.0,era5
2024-01-01 12:00:00,-15.8,82,0.0,0.0,1028.6,13.0,25.2,era5
2024-01-01 13:00:00,-16.1,81,0.0,0.0,1028.4,13.3,25.9,era5
2024-01-01 14:00:00,-16.4,81,0.0,0.0,1028.5,13.0,25.9,era5
2024-01-01 15:00:00,-16.7,80,0.0,0.0,1028.6,13.0,25.6,era5
2024-01-01 16:00:00,-15.9,80,0.0,0.0,1028.5,13.0,27.4,era5
2024-01-01 17:00:00,-16.0,78,0.0,0.0,1028.6,13.0,25.9,era5
2024-01-01 18:00:00,-16.3,78,0.0,0.0,1028.7,13.1,26.6,era5
2024-01-01 19:00:00,-16.7,78,0.0,0.0,1028.7,13.1,26.3,era5
2024-01-01 20:00:00,-16.9,78,0.0,0.0,1028.6,13.5,27.0,era5
2024-01-01 21:00:00,-17.3,78,0.0,0.0,1028.5,13.1,27.0,era5
2024-01-01 22:00:00,-17.6,79,0.0,0.0,1028.4,12.7,25.9,era5
2024-01-01 23:00:00,-17.7,78,0.0,0.0,1028.4,12.3,25.2,era5
2024-01-02 00:00:00,-17.7,78,0.0,0.0,1028.4,12.3,24.8,era5
2024-01-02 01:00:00,-17.9,78,0.0,0.0,1028.5,11.9,24.1,era5
2024-01-02 02:00:00,-18.3,78,0.0,0.0,1028.4,11.2,23.0,era5
2024-01-02 03:00:00,-18.7,78,0.0,0.0,1028.2,10.1,21.2,era5
2024-01-02 04:00:00,-18.6,80,0.0,0.0,1028.4,11.2,22.7,era5
2024-01-02 05:00:00,-18.8,79,0.0,0.0,1028.3,11.2,21.6,era5
2024-01-02 06:00:00,-19.1,78,0.0,0.0,1028.2,10.1,21.6,era5
2024-01-02 07:00:00,-19.5,78,0.0,0.0,1028.2,9.7,19.1,era5
2024-01-02 08:00:00,-19.9,78,0.0,0.0,1028.1,10.1,19.1,era5
2024-01-02 09:00:00,-20.3,78,0.0,0.0,1028.2,10.1,19.4,era5
2024-01-02 10:00:00,-20.7,79,0.0,0.0,1028.2,9.7,19.4,era5
2024-01-02 11:00:00,-21.1,77,0.0,0.0,1028.2,8.0,18.4,era5
2024-01-02 12:00:00,-21.5,76,0.0,0.0,1028.0,8.4,14.8,era5
2024-01-02 13:00:00,-22.0,75,0.0,0.0,1027.5,6.6,13.7,era5
2024-01-02 14:00:00,-22.6,74,0.0,0.0,1027.2,5.5,11.9,era5
2024-01-02 15:00:00,-23.0,73,0.0,0.0,1027.1,5.9,12.2,era5
2024-01-02 16:00:00,-23.4,75,0.0,0.0,1027.1,7.3,12.6,era5
2024-01-02 17:00:00,-23.0,72,0.0,0.0,1027.0,8.3,12.6,era5
2024-01-02 18:00:00,-25.9,74,0.0,0.0,1026.6,9.4,13.7,era5
2024-01-02 19:00:00,-25.8,73,0.0,0.0,1026.3,8.7,13.3,era5
2024-01-02 20:00:00,-25.4,70,0.0,0.0,1026.2,8.3,12.6,era5
2024-01-02 21:00:00,-24.4,67,0.0,0.0,1025.7,7.2,11.5,era5
2024-01-02 22:00:00,-21.1,57,0.0,0.0,1025.2,5.8,10.8,era5
2024-01-02 23:00:00,-21.0,56,0.0,0.0,1024.8,5.4,9.0,era5
2024-01-03 00:00:00,-21.4,58,0.0,0.0,1024.5,5.4,9.0,era5
2024-01-03 01:00:00,-21.9,62,0.0,0.0,1024.1,5.4,8.6,era5
2024-01-03 02:00:00,-22.1,65,0.0,0.0,1023.7,6.1,9.4,era5
2024-01-03 03:00:00,-22.2,65,0.0,0.0,1023.5,6.8,10.4,era5
2024-01-03 04:00:00,-22.4,68,0.0,0.0,1022.9,8.6,11.9,era5
2024-01-03 05:00:00,-25.7,76,0.0,0.0,1022.2,10.9,14.8,era5
2024-01-03 06:00:00,-24.6,73,0.0,0.0,1022.0,10.1,14.8,era5
2024-01-03 07:00:00,-24.2,71,0.0,0.0,1021.8,10.1,14.0,era5
2024-01-03 08:00:00,-23.1,70,0.0,0.0,1021.6,9.8,14.0,era5
2024-01-03 09:00:00,-24.8,74,0.0,0.0,1021.4,10.7,14.8,era5
2024-01-03 10:00:00,-24.6,77,0.0,0.0,1021.2,10.3,15.1,era5
2024-01-03 11:00:00,-24.0,80,0.0,0.0,1021.2,10.1,14.4,era5
2024-01-03 12:00:00,-23.1,83,0.0,0.0,1021.0,9.9,14.0,era5
2024-01-03 13:00:00,-23.1,85,0.0,0.0,1020.7,9.5,13.3,era5
2024-01-03 14:00:00,-23.1,84,0.0,0.0,1020.3,8.5,13.0,era5
2024-01-03 15:00:00,-23.4,84,0.0,0.0,1020.0,7.9,11.9,era5
2024-01-03 16:00:00,-26.9,88,0.0,0.0,1019.6,10.5,14.4,era5
2024-01-03 17:00:00,-27.3,89,0.0,0.0,1019.2,10.8,14.4,era5
2024-01-03 18:00:00,-27.2,89,0.0,0.0,1018.9,11.2,15.1,era5
2024-01-03 19:00:00,-26.7,87,0.0,0.0,1018.9,11.2,15.5,era5
2024-01-03 20:00:00,-26.7,86,0.0,0.0,1018.6,11.3,15.1,era5
2024-01-03 21:00:00,-26.3,85,0.0,0.0,1018.3,10.9,15.1,era5
2024-01-03 22:00:00,-23.6,84,0.0,0.0,1017.9,9.6,15.1,era5
2024-01-03 23:00:00,-22.7,83,0.0,0.0,1017.8,8.0,13.3,era5
2024-01-04 00:00:00,-22.8,80,0.0,0.0,1017.5,7.3,11.9,era5
2024-01-04 01:00:00,-22.4,80,0.0,0.0,1017.4,5.6,10.8,era5
2024-01-04 02:00:00,-26.2,85,0.0,0.0,1017.1,7.9,11.5,era5
2024-01-04 03:00:00,-26.7,86,0.0,0.0,1016.8,9.5,13.7,era5
2024-01-04 04:00:00,-22.8,82,0.0,0.0,1016.4,7.6,11.5,era5
2024-01-04 05:00:00,-23.5,85,0.0,0.0,1016.1,8.2,12.2,era5
2024-01-04 06:00:00,-26.5,90,0.0,0.0,1015.7,9.2,13.3,era5
2024-01-04 07:00:00,-26.2,89,0.0,0.0,1015.3,8.4,13.3,era5
2024-01-04 08:00:00,-23.0,86,0.0,0.0,1015.2,6.6,12.6,era5
2024-01-04 09:00:00,-22.9,85,0.0,0.0,1015.0,7.1,10.8,era5
